artists,name,album
Sum 41,13 Voices,13 Voices
Jessica Pratt,Aeroplane,Quiet Signs
Jessica Pratt,This Time Around,Quiet Signs
Jessica Pratt,Hollywood,Jessica Pratt
Jónsi,We Bought A Zoo,We Bought A Zoo (Motion Picture Soundtrack)
Mother Mother,Hayloft,O My Heart
Mother Mother,Verbatim,Touch Up
Mother Mother,Arms Tonite,O My Heart
Tally Hall,The Bidding,Marvin's Marvelous Mechanical Museum
The Youngbloods,Darkness, Darkness,Elephant Mountain
Peach Pit,Alrighty Aphrodite,Being So Normal
Peach Pit,Tommy's Party,Being So Normal
Pearl Jam,Just Breathe,Backspacer
José González,Far Away,Red Dead Redemption Original Soundtrack
Junip,Line of Fire,Junip
Sufjan Stevens,Casimir Pulaski Day,Illinois
The Tallest Man On Earth,The Gardener,Shallow Grave
Tristeza,Balabaristas,A Colores
Christian Erik Frederickson, Jason Bingham Noble, Rachel Grimes, Rachel's,Water from the Same Source,Systems / Layers
Rachel Grimes, Rachel's,Family Portrait,Music for Egon Schiele
Andrew Bird,Saints Preservus,Are You Serious
Nick Mulvey,Begin Again,Begin Again - EP
Chelsea Williams,Two-Headed Boy,Mockingbird Mixtape
Chelsea Williams,Tango Till They're Sore,Mockingbird Mixtape
Erik Satie, Philippe Entremont,Gymnopédie No. 1,Erik Satie & Friends
Gustav Holst, London Symphony Orchestra, Sir Colin Davis,The Planets, Op. 32: II. Venus, the Bringer of Peace,Holst: The Planets, Op. 32
Air,La femme d'argent,Moon Safari
Mark Knopfler,Speedway At Nazareth,Sailing To Philadelphia
Nick Drake,Northern Sky,Bryter Layter
Novo Amor,Carry You,Bathing Beach
Imogen Heap,Hide and Seek,Speak for Yourself (Deluxe Version)
Nick Drake,Pink Moon,Pink Moon
Nick Drake,River Man,Five Leaves Left
Jeff Buckley,Lilac Wine,Grace
Punch Brothers,Julep,The Phosphorescent Blues
Explosions In The Sky,Your Hand in Mine,The Earth Is Not a Cold Dead Place
Claude Debussy, Simon Trpčeski,Debussy: 2 Arabesques, CD 74, L. 66: No. 1, Andantino con moto,Debussy: Images & Children's Corner
Israel Kamakawiwo'ole,Somewhere Over The Rainbow_What A Wonderful World,Facing Future
Stuart Duncan, Edgar Meyer, Chris Thile, Aoife O'Donovan, Yo-Yo Ma,The Trappings,Not Our First Goat Rodeo
Julian Lage,Etude,Squint
Julian Lage,Boo's Blues,Squint
Cyrille Aimee, Michael Valeanu,I'll Be Seeing You,I'll Be Seeing You
The Wood Brothers,Little Bit Sweet,Kingdom in My Mind
Julian Lage,Quiet Like A Fuse,Squint
Lionel Loueke, Etienne Charles, Cyro Baptista,Gbê,The Journey
The Breath,For You - Acoustic,Acoustic
Hvalfugl,Polardrømme,Øjeblikke Vi Husker
The Breath,Harvest,Carry Your Kin (Deluxe version)
Lionel Loueke, John Ellis, Cyro Baptista,Molika,The Journey
Beans on Toast,Open Door Policy,Cushty
Phoebe Bridgers,That Funny Feeling,That Funny Feeling
The Head And The Heart,Library Magic,Signs of Light
Mt. Joy,Cardinal,Mt. Joy
Lord Huron,Wait by the River,Vide Noir
Ainslie Wills,This Is What I Write,You Go Your Way, I'll Go Mine
Sufjan Stevens, Angelo De Augustine,Reach Out,A Beginner's Mind
Sufjan Stevens, Angelo De Augustine,The Pillar Of Souls,A Beginner's Mind
Dirty Heads,Slow Down,Super Moon
Razorlight,Before I Fall To Pieces,Razorlight
Jacob Collier, Kathryn Tickell,Intro,Djesse Vol. 2
Jacob Collier,Sky Above,Djesse Vol. 2
Jacob Collier,Make Me Cry,Djesse Vol. 2
Jacob Collier,Moon River,Djesse Vol. 2
Jacob Collier,Time To Rest Your Weary Head,Djesse Vol. 2
Jacob Collier, VOCES8,Home Is,Djesse Vol. 1
