artists,name,album
Courteeners,What Took You So Long?,St. Jude
Dire Straits,Sultans Of Swing - Live At Hammersmith Odeon, London/1983,Alchemy: Dire Straits Live
Metallica,Fade To Black - Remastered,Ride The Lightning (Remastered)
Metallica,Master Of Puppets,Master Of Puppets (Remastered)
Metallica,Welcome Home (Sanitarium),Master Of Puppets (Remastered)
Metallica,Disposable Heroes,Master Of Puppets (Remastered)
Metallica,Orion,Master Of Puppets (Remastered)
Ludwig van Beethoven, llene Sameth, Leah Anne Myers, Richard Conant, James Clark, Peter Tiboris, Josef Pancik, Filharmonie Brno,Symphony No. 9, Op. 125 in D Minor -1895 Gustav Mahler Edition: IV. Finale: Presto - Allegro Assai,Beethoven's 9th Symphony: 1895 Gustav Mahler Orchestration
Pink Floyd,Echoes - 2011 Remastered Version,Meddle (2011 Remastered Version)
The Beatles,Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,Sgt. Pepper's Lonely Hearts Club Band (Remastered)
Courteeners,The Opener,Falcon
Oasis,Don't Look Back In Anger,(What's the Story) Morning Glory?
Oasis,The Masterplan,The Masterplan
Oasis,Live Forever - Remastered,Definitely Maybe (Deluxe Edition Remastered)
Oasis,Champagne Supernova - Remastered,(What's the Story) Morning Glory? [Deluxe Edition Remastered]
Travis,Flowers in the Window,The Invisible Band
The Stone Roses,Tightrope,Second Coming
The Stone Roses,I Am the Resurrection - Remastered 2009,The Stone Roses
The Offspring,Dammit, I Changed Again,Conspiracy Of One
Doves,Firesuite,Lost Souls
Allman Brothers Band,In Memory Of Elizabeth Reed - Live At The Fillmore East/1971,At Fillmore East
Red Hot Chili Peppers,Wet Sand,Stadium Arcadium
Red Hot Chili Peppers,Dosed,By the Way
Pink Floyd,Comfortably Numb - 2011 Remastered Version,The Wall (Remastered)
Pink Floyd,Time - 2011 Remastered Version,The Dark Side Of The Moon (2011 Remastered Version)
Oasis,Whatever,Whatever
Nirvana,Smells Like Teen Spirit,Nevermind (Remastered)
Neutral Milk Hotel,In The Aeroplane Over The Sea,In The Aeroplane Over The Sea
Neutral Milk Hotel,Two Headed Boy,In The Aeroplane Over The Sea
Mike + The Mechanics,The Living Years,Living Years
James,Tomorrow,James: The Best Of
Paul McCartney, Wings,Mamunia - Remastered 2010,Band On The Run (Standard)
The Beatles,Here Comes The Sun - Remastered,Abbey Road (Remastered)
Queen,Bohemian Rhapsody - Remastered 2011,A Night At The Opera (2011 Remaster)
Queen,Don't Stop Me Now - Remastered 2011,Jazz (2011 Remaster)
Queen,The Show Must Go On - Remastered 2011,Innuendo (2011 Remaster)
The Offspring,Bad Habit,Smash
