artists,name,album
Imogen Heap,Cumulus,Cumulus
Rachel Sermanni,Tiger,So It Turns
Smash Mouth,Walkin' On The Sun,Fush Yu Mang (20th Anniversary Edition)
Tommy Emmanuel,Deep River Blues / Doc's Guitar / Blue Smoke / Cannonball Rag (Live),Live! at the Ryman (Live)
Tommy Emmanuel,Somewhere over the Rainbow (Live),Live! at the Ryman (Live)
Dirty Heads,Staloney,SWIM TEAM (Special Edition)
Zero 7, José González,Futures,The Garden
CAKE,Never There,Prolonging the Magic
Ben Caplan,Down to the River,In the Time of the Great Remembering
TOOL,Invincible,Fear Inoculum
Eric Roche, Declan Zapala,The Perc-U-Lator,Awakenings
Salsa Celtica,Cumbia Celtica,El Agua de la Vida
Santana,Everybody's Everything,Santana's Greatest Hits
Ron Carter,All Blues,All Blues (CTI Records 40th Anniversary Edition)
Julian Lage,Nocturne,Arclight
Rx Bandits,Ruby Cumulous,Gemini, Her Majesty
Bill Frisell,Pipeline,Guitar in the Space Age
Zlabya,Mammatus,Les Animaux Et Les Choses
Dustin O'Halloran,An Ending, a Beginning,Late Night Tales: Bonobo
Menahan Street Band,The Traitor,Late Night Tales: Bonobo
BADBADNOTGOOD,Hedron,Late Night Tales: Bonobo
Larkin Poe,Preachin' Blues,Peach
Muse,Psycho,Drones
Muse,Reapers,Drones
Muse,Defector,Drones
George Gershwin, Frank Braley,Song Book: I Got Rhythm. Very marked,Gershwin: Piano Works
Little Tybee,Loaves of Bread,Little Tybee
Four Tet,Two Thousand and Seventeen,New Energy
Béla Fleck and the Flecktones,Life In Eleven,Rocket Science
Polo & Pan,Canopée,vibeland
Cory Wong, Chris Thile,Bluebird,Bluebird
Royal Blood,Out of the Black,Royal Blood
Jack Johnson,My Mind Is For Sale,My Mind Is For Sale
Sinéad O'Connor,All Apologies,Universal Mother
