artists,name,album
Mike + The Mechanics,All I Need Is A Miracle,Mike + The Mechanics
Deacon Blue,Dignity,Raintown
Deacon Blue,Real Gone Kid,Our Town - The Greatest Hits
Deacon Blue,Fergus Sings The Blues,Our Town - The Greatest Hits
Deacon Blue,Chocolate Girl,Raintown
Deacon Blue,Twist and Shout,Our Town - The Greatest Hits
Deacon Blue,Wages Day,Dignity - The Best Of
Deacon Blue,Queen of The New Year,Dignity - The Best Of
Deacon Blue,I'll Never Fall in Love Again,Dignity - The Best Of
Annie Lennox,Walking on Broken Glass,Diva
Eurythmics, Annie Lennox, Dave Stewart,Sweet Dreams (Are Made of This) - Remastered,Sweet Dreams (Are Made Of This)
Simply Red,If You Don't Know Me by Now - 2008 Remaster,A New Flame (Expanded Version)
Simple Minds,Don't You (Forget About Me) - Remastered,Celebrate (Greatest Hits)
Billy Joel,Uptown Girl,An Innocent Man
The Police,Every Little Thing She Does Is Magic - Remastered 2003,Ghost In The Machine (Remastered)
Phil Collins,You Can't Hurry Love,Hello, I Must Be Going
U2,I Still Haven't Found What I'm Looking For - Remastered 2007,The Joshua Tree (Deluxe Edition Remastered)
George Harrison,Got My Mind Set On You - Remastered 2004,Cloud Nine
ABBA,Super Trouper,Super Trouper
Dexys Midnight Runners,Come On Eileen,Come On Eileen / Dubious
Queen,Radio Ga Ga - Remastered 2011,The Works (2011 Remaster)
Dire Straits,Walk Of Life,Brothers In Arms (Remastered)
Genesis,Invisible Touch - Remastered 2007,Invisible Touch
Crowded House,Don't Dream It's Over,Crowded House
Paul Simon,You Can Call Me Al,Graceland (25th Anniversary Deluxe Edition)
ABBA,The Winner Takes It All,Super Trouper
Huey Lewis & The News,The Power Of Love,Greatest Hits: Huey Lewis And The News
Daryl Hall & John Oates,You Make My Dreams (Come True),Voices
U2,With Or Without You - Remastered 2007,The Joshua Tree
Foreigner,I Want to Know What Love Is - 1999 Remaster,Agent Provocateur
Peter Gabriel,Sledgehammer,So (Remastered)
