artists,name,album
Pennywise,Fuck Authority,Land Of The Free?
Sparks,This Town Ain't Big Enough For Both Of Us,Kimono My House
Heaven 17,Temptation - 12" Version / Remastered 2016,The Luxury Gap
Oasis,Take Me Away - Remastered,Definitely Maybe (Deluxe Edition Remastered)
Cage The Elephant,Ain't No Rest For The Wicked - Original Version,Cage The Elephant
Sufjan Stevens,My Red Little Fox,Javelin
Sufjan Stevens,A Running Start,Javelin
Polyphia,Playing God,Remember That You Will Die
Polyphia,G.O.A.T.,New Levels New Devils
Johnny Flynn, Robert Macfarlane,Song with no Name,The Moon Also Rises
Henriette Flach, Villads Hoffmann, Anna Østerby, Petrus Dillner,Flickflach,Skyklokke
Hanne Hukkelberg,Raindrops,Trust
My Chemical Romance,This Is How I Disappear,The Black Parade
Sum 41,The Hell Song,Does This Look Infected?
My Chemical Romance,I'm Not Okay (I Promise),Three Cheers for Sweet Revenge
Sum 41,No Reason,Chuck
Matt Duncan,The Keys,Soft Times
Bad Religion,21st Century (Digital Boy),Against The Grain
Agent Orange,Seek And Destroy,Surfing To Some F#*ked Up S@!t
Soundgarden,Spoonman,Superunknown (20th Anniversary)
Gregory Alan Isakov,John Brown's Body,That Sea, The Gambler
Metallica,The Unforgiven II,Reload
In Flames,The Jester's Dance,The Jester Race (Black Ash-Inheritance Version)
Jeremy Dutcher,Skicinuwihkuk,Skicinuwihkuk
Kanda Bongo Man,Saï,Kwassa Kwassa
Paul Simon,Mother and Child Reunion,Paul Simon
Ren,Money Game, Pt. 2,Demos (Do Not Share), Vol 1
Graham Coxon,All over Me,Happiness In Magazines
Passenger,I See Love,Wide Eyes Blind Love
Passenger,Caravan,Wide Eyes Blind Love
Gregory Alan Isakov,Big Black Car,This Empty Northern Hemisphere
I'm With Her, Sara Watkins, Sarah Jarosz, Aoife O'Donovan,Call My Name - Acoustic,Call My Name
Elbow,Mirrorball,The Seldom Seen Kid
Tiny Habits,some things (i've learned),Tiny Things
Tiny Habits,tiny things,Tiny Things
Tiny Habits,landslide,Tiny Things
Rufus Wainwright,Going To A Town,Release The Stars
Rufus Wainwright,Another Believer,Meet The Robinsons Original Soundtrack
José González,El Invento,Local Valley
Puentes, Nick Barbachano, Danit, Jonas Winter, Misha Mullov-Abbado, Reuben Darling Khan, Mao Tatanka,Que Florezca La Luz,Amerikua
Punch Brothers,Just Look at This Mess,All Ashore
Lady Maisery,hyperballad,tender
Eva Cassidy,Autumn Leaves,Live At Blues Alley
Firewind,I Am the Anger,Burning Earth
Firewind,The Fire and the Fury,Burning Earth
Korpiklaani,Vodka,Karkelo
Yusuf / Cat Stevens,Father And Son,Tea For The Tillerman (Remastered 2020)
45 Riots, Andreas Arnold,Itkahs,Itkahs
Federico Nathan Project,Macacos,Bardo
Adrien Moignard, Rocky Gresset,Amis Blues,Adrien Moignard Trio and Guests
