artists,name,album
Doves,Snowden,Some Cities
Doves,Almost Forgot Myself,Some Cities
Doves,Black And White Town,Some Cities
The La's,There She Goes,The La's
Supergrass,Alright,I Should Coco
Primal Scream, George Drakoulias, David Bianco,Rocks,Give Out But Don't Give Up
Manic Street Preachers,You Stole the Sun from My Heart,This Is My Truth Tell Me Yours
Sea Power,Please Stand Up,Open Season
Sea Power,Carrion,The Decline of British Sea Power & the Decline-Era B-Sides
Sea Power,Remember Me,The Decline of British Sea Power & the Decline-Era B-Sides
Sea Power,Apologies to Insect Life,The Decline of British Sea Power & the Decline-Era B-Sides
Blur,For Tomorrow - Visit to Primrose Hill Extended,Blur: The Best Of
Blur,On Your Own,Blur: The Best Of
Blur,Country House,Blur: The Best Of
Blur,Charmless Man,Blur: The Best Of
Blur,Song 2,Blur: The Best Of
Blur,There's No Other Way - Single Version,Blur: The Best Of
Blur,Beetlebum,Blur: The Best Of
Blondie,Atomic - Remastered/2001,Eat To The Beat
Blondie,Call Me,Atomic/Atomix
Blondie,Heart Of Glass - Special Mix,Best Of Blondie
Black Rebel Motorcycle Club,Red Eyes And Tears,B.R.M.C.
George Harrison,Got My Mind Set On You - Remastered 2004,Cloud Nine
Barenaked Ladies,One Week,Stunt
James,Getting Away With It (All Messed Up),Pleased To Meet You
James,Ring The Bells,James: The Best Of
James,How Was It For You?,James: The Best Of
James,Runaground,James: The Best Of
James,Lose Control,James: The Best Of
James,Sometimes,James: The Best Of
James,Destiny Calling,James: The Best Of
James,Born Of Frustration,James: The Best Of
James,Tomorrow,James: The Best Of
James,Waltzing Along - Single Version,James: The Best Of
James,Say Something,James: The Best Of
James,She's A Star,James: The Best Of
James,Laid,James: The Best Of
James,Come Home - Flood Mix,James: The Best Of
James,Sit Down,James: The Best Of
Iggy Pop,The Passenger,Lust For Life
Iggy Pop,Lust For Life,Lust For Life
Gorillaz,Feel Good Inc.,Demon Days
Franz Ferdinand,No You Girls,Tonight
Franz Ferdinand,Turn It On,Tonight
Franz Ferdinand,Ulysses,Tonight
Franz Ferdinand,Take Me Out,Franz Ferdinand
Franz Ferdinand,The Dark Of The Matinée,Franz Ferdinand
Fools Garden,Lemon Tree,Dish Of The Day
Foo Fighters,The Pretender,Echoes, Silence, Patience & Grace
Fleetwood Mac,Go Your Own Way - 2004 Remaster,Rumours
Feeder,Just a Day - Edit,The Singles
Feeder,Buck Rogers,The Singles
Erasure,A Little Respect - 2009 - Remaster,The Innocents
Electronic,Get the Message - 2013 Remaster,Electronic (Special Edition)
Electronic,Idiot Country - 2013 Remaster,Electronic (Special Edition)
Electronic,Reality - 2013 Remaster,Electronic (Special Edition)
Electric Six,Danger! High Voltage - Soulchild Radio Mix,Fire
Electric Light Orchestra,Mr. Blue Sky,Out of the Blue
Dusty Springfield,Son Of A Preacher Man,The Silver Collection
Jake Bugg,Seen It All,Jake Bugg
Jake Bugg,Two Fingers,Jake Bugg
Jake Bugg,Lightning Bolt,Jake Bugg
Dexys Midnight Runners,Geno - 2000 Remaster,Searching For The Young Soul Rebels
Dexys Midnight Runners,Come On Eileen,Too Rye Ay (Deluxe Edition)
Def Leppard,Rock Of Ages,Pyromania (Deluxe)
David Bowie,Modern Love - 1999 Remaster,Let's Dance (1999 Remaster)
David Bowie,Ashes to Ashes - 2017 Remaster,Scary Monsters (And Super Creeps) [2017 Remaster]
David Bowie,Rebel Rebel - 2016 Remaster,Diamond Dogs (2016 Remaster)
David Bowie,The Jean Genie - 2013 Remaster,Aladdin Sane (2013 Remaster)
David Bowie,Drive-In Saturday - 2013 Remaster,Aladdin Sane (2013 Remaster)
David Bowie,Suffragette City - 2012 Remaster,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)
David Bowie,Moonage Daydream - 2012 Remaster,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)
David Bowie,Life on Mars? - 2015 Remaster,Hunky Dory (2015 Remaster)
David Bowie,Changes - 2015 Remaster,Hunky Dory (2015 Remaster)
Chuck Berry,Johnny B. Goode,Berry Is On Top
Chuck Berry,You Never Can Tell,St. Louis to Liverpool
CAKE,War Pigs,b-sides and rarities
CAKE,Love You Madly,Comfort Eagle
CAKE,Comfort Eagle,Comfort Eagle
CAKE,Short Skirt / Long Jacket,Comfort Eagle
CAKE,Never There,Prolonging the Magic
CAKE,The Distance,Fashion Nugget
Cage The Elephant,Ain't No Rest For The Wicked - Original Version,Cage The Elephant
Pulp,Babies,His 'N' Hers
Queens of the Stone Age,Feel Good Hit Of The Summer,Rated R - Deluxe Edition
Pulp,Sorted For E's & Wizz,Different Class / Deluxe Edition
Pulp,Disco 2000,Different Class / Deluxe Edition
Pulp,Common People,Different Class / Deluxe Edition
Ocean Colour Scene,Get Blown Away,Marchin' Already
Ocean Colour Scene,Hundred Mile High City,Marchin' Already
Ocean Colour Scene,The Circle,Moseley Shoals
Ocean Colour Scene,The Riverboat Song,Moseley Shoals
Ocean Colour Scene,The Day We Caught The Train,Moseley Shoals
Oasis,Whatever,Whatever
Oasis,The Masterplan,The Masterplan
Oasis,Acquiesce,The Masterplan
Oasis,The Importance Of Being Idle,Don't Believe The Truth
Oasis,Lyla,Don't Believe The Truth
Oasis,Go Let It Out,Standing On The Shoulder Of Giants
Oasis,Morning Glory - Remastered,(What's The Story) Morning Glory? [Deluxe Edition Remastered]
Oasis,She's Electric - Remastered,(What's The Story) Morning Glory? [Deluxe Edition Remastered]
Oasis,Hey Now! - Remastered,(What's The Story) Morning Glory? [Deluxe Edition Remastered]
Oasis,Don't Look Back In Anger - Remastered,(What's The Story) Morning Glory? [Deluxe Edition Remastered]
Oasis,Hello - Remastered,(What's The Story) Morning Glory? [Deluxe Edition Remastered]
Oasis,Slide Away - Remastered,Definitely Maybe (Remastered) [Deluxe Edition Remastered]
Oasis,Cigarettes & Alcohol - Remastered,Definitely Maybe (Remastered) [Deluxe Edition Remastered]
Oasis,Columbia - Remastered,Definitely Maybe (Remastered) [Deluxe Edition Remastered]
Oasis,Supersonic - Remastered,Definitely Maybe (Remastered) [Deluxe Edition Remastered]
Oasis,Live Forever - Remastered,Definitely Maybe (Remastered) [Deluxe Edition Remastered]
Oasis,Rock ‘n’ Roll Star - Remastered,Definitely Maybe (Remastered) [Deluxe Edition Remastered]
Noel Gallagher's High Flying Birds,Holy Mountain,Who Built The Moon?
Noel Gallagher's High Flying Birds,If I Had A Gun...,Noel Gallagher's High Flying Birds
New Order,Bizarre Love Triangle - 2015 Remaster,Brotherhood
