artists,name,album
Sum 41,13 Voices,13 Voices
Foo Fighters,All My Life,One By One (Expanded Edition)
Foo Fighters,Monkey Wrench,The Colour And The Shape
Foo Fighters,Breakout,There Is Nothing Left To Lose
Tenacious D,Classico,The Pick Of Destiny
The Offspring,Pretty Fly (For A White Guy),Americana
Sum 41,Still Waiting,Does This Look Infected?
Sum 41,Motivation,All Killer, No Filler
blink-182,The Rock Show,Take Off Your Pants And Jacket
blink-182,All The Small Things,Enema Of The State
Green Day,Basket Case,Dookie
Green Day,American Idiot,American Idiot
Green Day,Good Riddance (Time of Your Life),Nimrod
Green Day,Holiday / Boulevard of Broken Dreams,American Idiot
Green Day,Jesus of Suburbia,American Idiot (Deluxe)
The Offspring,The Kids Aren't Alright,Americana
Jimmy Eat World,The Middle,Bleed American
Papa Roach,Last Resort,Infest
The Offspring,You're Gonna Go Far, Kid,Rise And Fall, Rage And Grace
Bowling For Soup,Girl All the Bad Guys Want,Drunk Enough To Dance
Goldfinger,99 Red Balloons,Stomping Ground
Wheatus,Teenage Dirtbag,Wheatus
Nirvana,In Bloom,Nevermind (Deluxe Edition)
Goldfinger,Superman,Hang-Ups
Weezer,Buddy Holly,Weezer
Feeder,Just a Day - Edit,The Singles
Sum 41,Fat Lip,All Killer, No Filler
Green Day,When I Come Around,Dookie
Green Day,Minority,Warning
Puddle Of Mudd,She Hates Me,Come Clean
Less Than Jake,All My Best Friends Are Metalheads,Hello Rockview
My Chemical Romance,Welcome to the Black Parade,The Black Parade
The Offspring,Staring At The Sun,Americana
The Offspring,All I Want,Ixnay On The Hombre
My Chemical Romance,Teenagers,The Black Parade
Her Bright Skies,Heartbreaker,Causing A Scene
Sum 41,Turning Away,Order In Decline
Hoobastank,Crawling In The Dark,Hoobastank (20th Anniversary Edition)
zebrahead,Falling Apart,MFZB
System Of A Down,Chop Suey!,Toxicity
Sum 41,No Reason,Chuck
My Chemical Romance,I'm Not Okay (I Promise),Three Cheers for Sweet Revenge
Sum 41,The Hell Song,Does This Look Infected?
My Chemical Romance,This Is How I Disappear,The Black Parade
Pennywise,Fuck Authority,Land Of The Free?
The Offspring,Bad Habit,Smash
Rage Against The Machine,Killing In the Name,Rage Against The Machine
Rage Against The Machine,Take the Power Back,Rage Against The Machine
Rage Against The Machine,Know Your Enemy,Rage Against The Machine
Rage Against The Machine,Testify,The Battle Of Los Angeles
